MIN_NUM_WORKERS,aggregation_algorithm,batch_size,best_acc,best_f1,best_loss,best_prec,best_recall,best_round,convnet_hidden1,convnet_hidden2,dataframe_path,dataset_name,dataset_path,device,early_stop_patience,encryption_mode,fedprox_mu,global_epoch,gpu_blacklist,he_backend,heartbeat_interval_hours,image_size,learning_rate,local_epoch,log_dir,model_name,models_percentage,notification_interval,num_classes,num_clients,num_custom_layers,num_parallel_executions,pc_name,plot_dir,round_timeout,splitting_dir,telegram_bot_token,telegram_chat_id,total_duration,weighted_aggregation,worker_id
2,FedProx,16,0.5857142857142857,0.43268983268983274,0.6799755613009135,0.3430612244897959,0.5857142857142857,0,-1,-1,csv_geosciences/runs/20260415-155455_dataset_slices_sorted_worker_8.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_8_GoogLeNet,GoogLeNet,1,,2,2,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_8_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_8_GoogLeNet,,,273.5151033401489,True,8
2,FedAvg,16,0.5857142857142857,0.43268983268983274,0.677551110301699,0.3430612244897959,0.5857142857142857,0,-1,-1,csv_geosciences/runs/20260415-155455_dataset_slices_sorted_worker_11.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.0001,1,logs_geosciences/dataset_slices_sorted_run_11_GoogLeNet,GoogLeNet,1,,2,2,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_11_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_11_GoogLeNet,,,272.1403350830078,True,11
4,FedAvg,16,0.5904761904761905,0.4384374108925007,0.6890075155666896,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155558_dataset_slices_sorted_worker_3.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_3_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_3_GoogLeNet,,,172.97378540039062,True,3
4,FedAvg,16,0.5904761904761905,0.4384374108925007,0.690394325483413,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155605_dataset_slices_sorted_worker_4.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_4_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_4_GoogLeNet,,,178.56215810775757,True,4
4,FedProx,16,0.5904761904761905,0.4384374108925007,0.6813252248934337,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155606_dataset_slices_sorted_worker_1.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_1_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_1_GoogLeNet,,,180.04030966758728,True,1
4,FedAvg,16,0.6357142857142857,0.6033167063182581,0.6590684784310205,0.6240068984060946,0.6357142857142857,4,-1,-1,csv_geosciences/runs/20260415-155623_dataset_slices_sorted_worker_7.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_7_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_7_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_7_GoogLeNet,,,193.3684995174408,True,7
4,FedProx,16,0.5904761904761905,0.4384374108925007,0.6816287113087518,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155625_dataset_slices_sorted_worker_0.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_0_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_0_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_0_GoogLeNet,,,180.59681820869446,True,0
4,FedAvg,16,0.5904761904761905,0.4384374108925007,0.6872056420360293,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155628_dataset_slices_sorted_worker_9.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.0,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_9_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_9_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_9_GoogLeNet,,,198.05437350273132,True,9
4,FedProx,16,0.6261904761904762,0.618641682717313,0.658098077632132,0.620603907744296,0.6261904761904762,4,-1,-1,csv_geosciences/runs/20260415-155631_dataset_slices_sorted_worker_10.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.001,1,logs_geosciences/dataset_slices_sorted_run_10_GoogLeNet,GoogLeNet,1,,2,4,2,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_10_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_10_GoogLeNet,,,200.14347219467163,True,10
4,FedProx,16,0.5904761904761905,0.4384374108925007,0.6920262390658969,0.34866213151927433,0.5904761904761905,0,-1,-1,csv_geosciences/runs/20260415-155651_dataset_slices_sorted_worker_6.csv,dataset_slices_sorted,dataset/dataset_slices_sorted,cuda,5,no_encryption,0.05,5,,,,224,0.01,1,logs_geosciences/dataset_slices_sorted_run_6_GoogLeNet,GoogLeNet,1,,2,4,4,,geosciences,static/plots_geosciences/dataset_slices_sorted_run_6_GoogLeNet,,run_dataset_geosciences/dataset_slices_sorted_run_6_GoogLeNet,,,223.04265522956848,True,6
